eco_code,opening_name,games,white_wins,draws,black_wins,white_win_rate,draw_rate,black_win_rate
C30,King's Gambit,34,27,1,6,0.7941176470588235,0.029411764705882353,0.17647058823529413
C40,King's Pawn Game: McConnell Defense,32,23,2,7,0.71875,0.0625,0.21875
C62,Ruy Lopez: Steinitz Defense,60,42,1,17,0.7,0.016666666666666666,0.2833333333333333
C42,Petrov's Defense: Three Knights Game,58,40,1,17,0.6896551724137931,0.017241379310344827,0.29310344827586204
C20,Center Game,53,36,0,17,0.6792452830188679,0.0,0.32075471698113206
C46,Three Knights Opening,48,32,1,15,0.6666666666666666,0.020833333333333332,0.3125
C50,Italian Game: Anti-Fried Liver Defense,53,35,0,18,0.660377358490566,0.0,0.33962264150943394
A21,"English Opening: King's English Variation, Reversed Sicilian",32,21,0,11,0.65625,0.0,0.34375
C50,Italian Game,31,20,0,11,0.6451612903225806,0.0,0.3548387096774194
C30,King's Gambit Declined: Queen's Knight Defense,45,29,1,15,0.6444444444444445,0.022222222222222223,0.3333333333333333
C00,French Defense: Normal Variation,98,63,5,30,0.6428571428571429,0.05102040816326531,0.30612244897959184
C23,Bishop's Opening,168,107,3,58,0.6369047619047619,0.017857142857142856,0.34523809523809523
B23,Sicilian Defense: Closed,54,34,2,18,0.6296296296296297,0.037037037037037035,0.3333333333333333
D02,Queen's Pawn Game: Zukertort Variation,106,66,4,36,0.6226415094339622,0.03773584905660377,0.33962264150943394
B00,St. George Defense,50,31,1,18,0.62,0.02,0.36
A06,Zukertort Opening,43,26,2,15,0.6046511627906976,0.046511627906976744,0.3488372093023256
D00,Queen's Pawn Game: Levitsky Attack,35,21,0,14,0.6,0.0,0.4
A40,Queen's Pawn Game,77,46,2,29,0.5974025974025974,0.025974025974025976,0.37662337662337664
D20,Queen's Gambit Accepted,41,24,4,13,0.5853658536585366,0.0975609756097561,0.3170731707317073
B00,Nimzowitsch Defense,36,21,5,10,0.5833333333333334,0.1388888888888889,0.2777777777777778
A40,English Defense,62,36,3,23,0.5806451612903226,0.04838709677419355,0.3709677419354839
D00,Queen's Pawn Game: Accelerated London System,40,23,0,17,0.575,0.0,0.425
A46,Indian Defense: Knights Variation,35,20,0,15,0.5714285714285714,0.0,0.42857142857142855
C41,Philidor Defense,315,180,12,123,0.5714285714285714,0.0380952380952381,0.3904761904761905
C42,Petrov's Defense,37,21,0,16,0.5675675675675675,0.0,0.43243243243243246
D06,Queen's Gambit Declined: Marshall Defense,62,35,4,23,0.5645161290322581,0.06451612903225806,0.3709677419354839
A45,Indian Defense,76,42,1,33,0.5526315789473685,0.013157894736842105,0.4342105263157895
B01,Scandinavian Defense: Mieses-Kotroc Variation,181,100,6,75,0.5524861878453039,0.03314917127071823,0.4143646408839779
A13,English Opening: Agincourt Defense,49,27,0,22,0.5510204081632653,0.0,0.4489795918367347
A40,Horwitz Defense,407,223,10,174,0.547911547911548,0.02457002457002457,0.4275184275184275
C24,Bishop's Opening: Berlin Defense,97,53,1,43,0.5463917525773195,0.010309278350515464,0.44329896907216493
A30,English Opening: Symmetrical Variation,33,18,2,13,0.5454545454545454,0.06060606060606061,0.3939393939393939
C00,French Defense: La Bourdonnais Variation,56,30,1,25,0.5357142857142857,0.017857142857142856,0.44642857142857145
B10,Caro-Kann Defense: Hillbilly Attack,30,16,0,14,0.5333333333333333,0.0,0.4666666666666667
D30,Queen's Gambit Declined,47,25,0,22,0.5319148936170213,0.0,0.46808510638297873
D02,Queen's Pawn Game: Chigorin Variation,32,17,2,13,0.53125,0.0625,0.40625
B21,Sicilian Defense: McDonnell Attack,64,34,2,28,0.53125,0.03125,0.4375
D10,Slav Defense,51,27,2,22,0.5294117647058824,0.0392156862745098,0.43137254901960786
A20,English Opening: King's English Variation,34,18,1,15,0.5294117647058824,0.029411764705882353,0.4411764705882353
C00,French Defense: Queen's Knight,55,29,2,24,0.5272727272727272,0.03636363636363636,0.43636363636363634
B01,Scandinavian Defense: Valencian Variation,38,20,1,17,0.5263157894736842,0.02631578947368421,0.4473684210526316
B00,Pirc Defense,179,94,6,79,0.5251396648044693,0.0335195530726257,0.441340782122905
D00,Queen's Pawn Game,339,178,9,152,0.5250737463126843,0.02654867256637168,0.44837758112094395
B50,Sicilian Defense: Modern Variations,61,32,0,29,0.5245901639344263,0.0,0.47540983606557374
A01,Nimzo-Larsen Attack,69,36,1,32,0.5217391304347826,0.014492753623188406,0.463768115942029
B06,Modern Defense,163,85,5,73,0.5214723926380368,0.03067484662576687,0.44785276073619634
D00,Queen's Pawn Game: Chigorin Variation,95,49,5,41,0.5157894736842106,0.05263157894736842,0.43157894736842106
A02,Bird Opening,64,33,0,31,0.515625,0.0,0.484375
A00,Mieses Opening: Reversed Rat,72,37,2,33,0.5138888888888888,0.027777777777777776,0.4583333333333333
B01,Scandinavian Defense: Main Line,44,22,2,20,0.5,0.045454545454545456,0.45454545454545453
C40,King's Pawn Game: Busch-Gass Gambit,44,22,0,22,0.5,0.0,0.5
C47,Four Knights Game,30,15,1,14,0.5,0.03333333333333333,0.4666666666666667
A41,Queen's Pawn Game,60,30,1,29,0.5,0.016666666666666666,0.48333333333333334
A03,Bird Opening: Dutch Variation,43,21,0,22,0.4883720930232558,0.0,0.5116279069767442
B00,Owen Defense,154,75,5,74,0.487012987012987,0.032467532467532464,0.4805194805194805
A00,Mieses Opening,124,60,5,59,0.4838709677419355,0.04032258064516129,0.47580645161290325
C20,King's Pawn Game: Wayward Queen Attack,60,29,1,30,0.48333333333333334,0.016666666666666666,0.5
A00,Hungarian Opening,73,35,2,36,0.4794520547945205,0.0273972602739726,0.4931506849315068
C45,Scotch Game,42,20,4,18,0.47619047619047616,0.09523809523809523,0.42857142857142855
A00,Van't Kruijs Opening,255,120,8,127,0.47058823529411764,0.03137254901960784,0.4980392156862745
A01,Nimzo-Larsen Attack: Modern Variation,49,23,3,23,0.46938775510204084,0.061224489795918366,0.46938775510204084
C23,Bishop's Opening: Boi Variation,32,15,1,16,0.46875,0.03125,0.5
C00,French Defense: Knight Variation,192,89,10,93,0.4635416666666667,0.052083333333333336,0.484375
C44,King's Knight Opening: Normal Variation,41,19,1,21,0.4634146341463415,0.024390243902439025,0.5121951219512195
C20,King's Pawn Game: Leonardis Variation,52,24,4,24,0.46153846153846156,0.07692307692307693,0.46153846153846156
C20,King's Pawn Game: MacLeod Attack,35,16,1,18,0.45714285714285713,0.02857142857142857,0.5142857142857142
A01,Nimzo-Larsen Attack: Classical Variation,33,15,0,18,0.45454545454545453,0.0,0.5454545454545454
B21,Sicilian Defense: Smith-Morra Gambit,42,19,1,22,0.4523809523809524,0.023809523809523808,0.5238095238095238
B01,Scandinavian Defense,128,57,3,68,0.4453125,0.0234375,0.53125
B01,Scandinavian Defense: Modern Variation,52,23,1,28,0.4423076923076923,0.019230769230769232,0.5384615384615384
B10,Caro-Kann Defense,105,46,1,58,0.4380952380952381,0.009523809523809525,0.5523809523809524
B20,Sicilian Defense,69,30,1,38,0.43478260869565216,0.014492753623188406,0.5507246376811594
A40,Queen's Pawn Game: Modern Defense,81,35,4,42,0.43209876543209874,0.04938271604938271,0.5185185185185185
B40,Sicilian Defense: French Variation,47,20,1,26,0.425531914893617,0.02127659574468085,0.5531914893617021
B32,Sicilian Defense: Open,33,14,2,17,0.42424242424242425,0.06060606060606061,0.5151515151515151
A43,Benoni Defense: Old Benoni,65,27,5,33,0.4153846153846154,0.07692307692307693,0.5076923076923077
B30,Sicilian Defense: Old Sicilian,96,39,3,54,0.40625,0.03125,0.5625
C00,French Defense,58,23,0,35,0.39655172413793105,0.0,0.603448275862069
A50,Indian Defense: Normal Variation,31,12,2,17,0.3870967741935484,0.06451612903225806,0.5483870967741935
B20,Sicilian Defense: Bowdler Attack,120,44,4,72,0.36666666666666664,0.03333333333333333,0.6
C01,French Defense: Exchange Variation,39,14,5,20,0.358974358974359,0.1282051282051282,0.5128205128205128
A00,Saragossa Opening,30,10,0,20,0.3333333333333333,0.0,0.6666666666666666
C02,French Defense: Advance Variation,36,6,4,26,0.16666666666666666,0.1111111111111111,0.7222222222222222
