eco_line_length,games,mean_acpl,std_acpl
1,79,4603.353544303797,5357.646249598896
2,215,3046.4450232558142,3995.601052981958
3,230,3549.549173913044,4230.801081769187
4,184,3173.438695652174,3593.364614545114
5,102,2554.518137254902,4625.354202841339
6,138,2992.6056521739133,4405.608452236141
7,73,2450.769863013699,2771.5360481842386
8,69,2471.8914492753624,3778.209073906685
9,27,2198.6511111111113,2230.3576619531973
10,29,2091.5058620689656,2975.9676250705384
