eco_code,opening_name,games,white_wins,draws,black_wins,white_win_rate,draw_rate,black_win_rate
A01,Nimzo-Larsen Attack,36,26,1,9,0.7222222222222222,0.027777777777777776,0.25
C00,French Defense: Normal Variation,68,47,2,19,0.6911764705882353,0.029411764705882353,0.27941176470588236
A13,English Opening: Agincourt Defense,42,29,1,12,0.6904761904761905,0.023809523809523808,0.2857142857142857
A04,Zukertort Opening: Sicilian Invitation,35,24,2,9,0.6857142857142857,0.05714285714285714,0.2571428571428571
A40,Mikenas Defense,41,28,2,11,0.6829268292682927,0.04878048780487805,0.2682926829268293
C44,Scotch Game,31,21,0,10,0.6774193548387096,0.0,0.3225806451612903
D06,Queen's Gambit Declined: Marshall Defense,50,32,2,16,0.64,0.04,0.32
B23,Sicilian Defense: Closed,50,31,0,19,0.62,0.0,0.38
C00,French Defense: Queen's Knight,34,21,0,13,0.6176470588235294,0.0,0.38235294117647056
B32,Sicilian Defense: Open,41,25,2,14,0.6097560975609756,0.04878048780487805,0.34146341463414637
C20,Center Game,58,35,1,22,0.603448275862069,0.017241379310344827,0.3793103448275862
D00,Queen's Pawn Game: Chigorin Variation,59,35,1,23,0.5932203389830508,0.01694915254237288,0.3898305084745763
A40,English Defense,48,28,2,18,0.5833333333333334,0.041666666666666664,0.375
A50,Indian Defense: Normal Variation,43,25,1,17,0.5813953488372093,0.023255813953488372,0.3953488372093023
A01,Nimzo-Larsen Attack: Classical Variation,31,18,3,10,0.5806451612903226,0.0967741935483871,0.3225806451612903
D30,Queen's Gambit Declined,52,30,5,17,0.5769230769230769,0.09615384615384616,0.3269230769230769
B22,Sicilian Defense: Alapin Variation,47,27,1,19,0.574468085106383,0.02127659574468085,0.40425531914893614
C62,Ruy Lopez: Steinitz Defense,63,36,4,23,0.5714285714285714,0.06349206349206349,0.36507936507936506
B01,Scandinavian Defense: Mieses-Kotroc Variation,130,74,4,52,0.5692307692307692,0.03076923076923077,0.4
C30,King's Gambit Declined: Queen's Knight Defense,30,17,1,12,0.5666666666666667,0.03333333333333333,0.4
A05,Zukertort Opening,46,26,5,15,0.5652173913043478,0.10869565217391304,0.32608695652173914
B00,Owen Defense,89,49,1,39,0.550561797752809,0.011235955056179775,0.43820224719101125
D10,Slav Defense,72,39,2,31,0.5416666666666666,0.027777777777777776,0.4305555555555556
B01,Scandinavian Defense: Modern Variation,50,27,2,21,0.54,0.04,0.42
C24,Bishop's Opening: Berlin Defense,71,38,5,28,0.5352112676056338,0.07042253521126761,0.39436619718309857
A03,Bird Opening: Dutch Variation,30,16,0,14,0.5333333333333333,0.0,0.4666666666666667
D00,Queen's Pawn Game: Accelerated London System,79,42,3,34,0.5316455696202531,0.0379746835443038,0.43037974683544306
B50,Sicilian Defense,32,17,3,12,0.53125,0.09375,0.375
C01,French Defense: Exchange Variation,53,28,2,23,0.5283018867924528,0.03773584905660377,0.4339622641509434
C46,Three Knights Opening,40,21,2,17,0.525,0.05,0.425
C45,Scotch Game,50,26,2,22,0.52,0.04,0.44
C50,Italian Game: Anti-Fried Liver Defense,52,27,2,23,0.5192307692307693,0.038461538461538464,0.4423076923076923
A07,King's Indian Attack,31,16,2,13,0.5161290322580645,0.06451612903225806,0.41935483870967744
D20,Queen's Gambit Accepted,39,20,3,16,0.5128205128205128,0.07692307692307693,0.41025641025641024
A04,Zukertort Opening: Queen's Gambit Invitation,41,21,1,19,0.5121951219512195,0.024390243902439025,0.4634146341463415
B01,Scandinavian Defense: Main Line,49,25,2,22,0.5102040816326531,0.04081632653061224,0.4489795918367347
A40,Horwitz Defense,251,127,11,113,0.5059760956175299,0.043824701195219126,0.450199203187251
A45,Indian Defense,87,44,2,41,0.5057471264367817,0.022988505747126436,0.47126436781609193
B00,Nimzowitsch Defense,42,21,2,19,0.5,0.047619047619047616,0.4523809523809524
A40,Queen's Pawn Game,102,51,10,41,0.5,0.09803921568627451,0.4019607843137255
B13,Caro-Kann Defense: Exchange Variation,34,17,1,16,0.5,0.029411764705882353,0.47058823529411764
B01,Scandinavian Defense,172,85,3,84,0.4941860465116279,0.01744186046511628,0.4883720930232558
B30,Sicilian Defense: Old Sicilian,75,37,5,33,0.49333333333333335,0.06666666666666667,0.44
D02,Queen's Pawn Game: Zukertort Variation,73,36,4,33,0.4931506849315068,0.0547945205479452,0.4520547945205479
B21,Sicilian Defense: Smith-Morra Gambit,67,33,7,27,0.4925373134328358,0.1044776119402985,0.40298507462686567
C20,King's Pawn Game: Wayward Queen Attack,59,29,1,29,0.4915254237288136,0.01694915254237288,0.4915254237288136
C42,Petrov's Defense: Three Knights Game,43,21,2,20,0.4883720930232558,0.046511627906976744,0.46511627906976744
C02,French Defense: Advance Variation,41,20,2,19,0.4878048780487805,0.04878048780487805,0.4634146341463415
B01,Scandinavian Defense: Valencian Variation,72,35,4,33,0.4861111111111111,0.05555555555555555,0.4583333333333333
B50,Sicilian Defense: Modern Variations,68,33,4,31,0.4852941176470588,0.058823529411764705,0.45588235294117646
B00,Nimzowitsch Defense: Declined Variation,31,15,2,14,0.4838709677419355,0.06451612903225806,0.45161290322580644
A02,Bird Opening,54,26,1,27,0.48148148148148145,0.018518518518518517,0.5
B06,Modern Defense,170,80,8,82,0.47058823529411764,0.047058823529411764,0.4823529411764706
A00,Mieses Opening,86,40,3,43,0.46511627906976744,0.03488372093023256,0.5
C41,Philidor Defense: Exchange Variation,41,19,3,19,0.4634146341463415,0.07317073170731707,0.4634146341463415
C41,Philidor Defense,199,92,9,98,0.4623115577889447,0.04522613065326633,0.49246231155778897
A00,Van Geet Opening,39,18,2,19,0.46153846153846156,0.05128205128205128,0.48717948717948717
A43,Benoni Defense: Old Benoni,111,51,7,53,0.4594594594594595,0.06306306306306306,0.4774774774774775
B00,Pirc Defense,157,72,5,80,0.4585987261146497,0.03184713375796178,0.5095541401273885
A40,Queen's Pawn Game: Modern Defense,94,43,2,49,0.4574468085106383,0.02127659574468085,0.5212765957446809
B90,Sicilian Defense: Najdorf Variation,55,25,5,25,0.45454545454545453,0.09090909090909091,0.45454545454545453
B10,Caro-Kann Defense,117,53,4,60,0.452991452991453,0.03418803418803419,0.5128205128205128
B21,Sicilian Defense: McDonnell Attack,49,22,4,23,0.4489795918367347,0.08163265306122448,0.46938775510204084
A00,Hungarian Opening,141,63,6,72,0.44680851063829785,0.0425531914893617,0.5106382978723404
A45,Indian Defense: Accelerated London System,36,16,3,17,0.4444444444444444,0.08333333333333333,0.4722222222222222
C00,French Defense: Knight Variation,167,74,9,84,0.4431137724550898,0.05389221556886228,0.5029940119760479
A41,Queen's Pawn Game,43,19,1,23,0.4418604651162791,0.023255813953488372,0.5348837209302325
C00,French Defense,43,19,2,22,0.4418604651162791,0.046511627906976744,0.5116279069767442
A06,Zukertort Opening,50,22,1,27,0.44,0.02,0.54
