eco_code,opening_name,games,white_wins,draws,black_wins,white_win_rate,draw_rate,black_win_rate
D00,Queen's Pawn Game,156,68,3,85,0.4358974358974359,0.019230769230769232,0.5448717948717948
C20,King's Pawn Game: Leonardis Variation,62,27,2,33,0.43548387096774194,0.03225806451612903,0.532258064516129
B20,Sicilian Defense: Bowdler Attack,108,46,1,61,0.42592592592592593,0.009259259259259259,0.5648148148148148
C23,Bishop's Opening,100,42,1,57,0.42,0.01,0.57
C65,Ruy Lopez: Berlin Defense,31,13,2,16,0.41935483870967744,0.06451612903225806,0.5161290322580645
A20,English Opening: King's English Variation,31,13,2,16,0.41935483870967744,0.06451612903225806,0.5161290322580645
B40,Sicilian Defense: French Variation,36,15,4,17,0.4166666666666667,0.1111111111111111,0.4722222222222222
A00,Saragossa Opening,57,23,5,29,0.40350877192982454,0.08771929824561403,0.5087719298245614
A00,Van't Kruijs Opening,250,99,10,141,0.396,0.04,0.564
C40,King's Pawn Game: Busch-Gass Gambit,33,13,0,20,0.3939393939393939,0.0,0.6060606060606061
A46,Indian Defense: Knights Variation,46,18,2,26,0.391304347826087,0.043478260869565216,0.5652173913043478
B20,Sicilian Defense,60,22,0,38,0.36666666666666664,0.0,0.6333333333333333
A06,Zukertort Opening: Tennison Gambit,34,12,0,22,0.35294117647058826,0.0,0.6470588235294118
B02,Alekhine Defense,32,11,0,21,0.34375,0.0,0.65625
C68,Ruy Lopez: Exchange Variation,30,10,1,19,0.3333333333333333,0.03333333333333333,0.6333333333333333
