white_elo,black_elo,result,time_control,opening_moves
1452,1227,white,480+0,e4 d5 exd5 e6 dxe6 fxe6 Qe2 Qd6 Nf3 Nc6
1796,1876,white,180+0,e4 e5 Nf3 Nc6 d4 exd4 Bc4 Nf6 Ng5 d5
1807,1637,white,300+0,e4 e5 Nf3 d6 d4 exd4 Nxd4 g6 c4 Bg7
1457,1442,white,900+0,e4 d5 exd5 Qxd5 Nc3 Qe6+ Be2 g6 d4 Bg7
1716,1821,black,300+15,d4 Nf6 c4 g6 Nc3 d5 cxd5 Nxd5 e4 Nxc3
1481,1212,white,300+5,e4 e5 Qf3 d6 Bc4 Nf6 h3 a6 c3 b5
1484,1631,black,180+3,e4 c5 Bc4 Nc6 Nf3 e6 Na3 a6 d3 d5
1406,1864,black,300+0,b3 e5 Bb2 d6 e3 Nf6 Be2 Be7 h3 Be6
1658,1384,white,0+1,d3 e6 Bd2 d6 Bc3 c6 Qd2 c5 Qe3 d5
1258,1336,black,300+5,d4 g6 d5 c6 e4 cxd5 exd5 e6 c4 exd5
1567,1657,black,660+11,d4 d5 c4 e6 c5 Nf6 Bg5 Be7 Bxf6 Bxf6
1654,1515,white,0+1,d3 d6 Bd2 e5 Bc3 f5 d4 Be7 dxe5 Bg5
1524,1699,white,240+0,d4 Nf6 Bf4 Nh5 Be5 d6 Bg3 Nxg3 hxg3 Bf5
1786,1662,white,60+0,e4 e6 f4 Be7 Nf3 f6 d4 g6 Bd3 h6
1585,1584,white,240+0,e4 c6 d4 d5 e5 Bf5 Nf3 Bg4 Be2 e6
1887,1666,black,240+0,e4 e5 Nf3 Nc6 Bc4 h6 c3 Nf6 d3 Be7
1485,1557,black,300+5,e4 d6 c3 g6 d4 Bg7 b4 Nf6 Qf3 Bg4
1563,1142,black,900+6,g4 e5 Bg2 d5 h3 Nc6 d3 g5 e4 d4
1479,1356,white,60+2,e4 c5 Bc4 d6 f4 a6 a4 Qa5 Nc3 Bd7
1666,1788,black,600+10,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 b5 Bb3 Nf6
1794,1900,black,60+0,e4 c5 f4 d6 Nf3 Nf6 Bc4 Nc6 e5 dxe5
1661,1833,white,0+1,d3 g6 Bd2 Bg7 Bc3 f5 Bxg7 Nf6 Bxh8 Kf7
1866,1404,white,300+0,d4 e6 e4 a5 Nf3 Bb4+ c3 Bd6 e5 Be7
1492,1426,white,300+3,e4 d6 Bc4 e5 Qf3 Be6 Bxe6 fxe6 Nc3 Qf6
1809,1794,white,60+0,e4 e5 f4 exf4 h4 d5 exd5 Qxd5 Nf3 Bg4
1683,1835,black,240+0,d4 Nf6 Nf3 e6 e3 d5 Be2 Be7 O-O O-O
1582,1235,white,300+1,e4 e5 Nf3 Bc5 Nc3 a6 Nxe5 Bxf2+ Kxf2 Qf6+
1950,1996,black,300+5,c4 b6 Nc3 Bb7 e4 e6 g3 Nf6 Bg2 a6
1522,1292,black,600+8,e4 Nf6 e5 Nd5 Bc4 Nb6 Bb3 Nc6 Qh5 g6
1505,1400,white,300+0,e4 e5 Nc3 Nf6 Nf3 Nc6 Bc4 Bb4 d3 O-O
1785,1817,white,60+0,e4 e5 f4 exf4 h4 d5 exd5 Qxd5 Nf3 Bg4
1361,1457,black,960+6,e4 e5 Nf3 Nc6 Nc3 Nd4 Nxd4 exd4 Nb5 c5
1869,1400,white,300+0,d4 e6 e4 b6 Nf3 a5 Bd3 Bb7 O-O h5
1389,1587,white,120+0,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Bc4 Bd7
1625,1508,white,300+2,e4 e5 Bc4 Nf6 Nf3 d6 Ng5 Be6 Bxe6 fxe6
1467,1610,white,120+0,e4 c5 Nf3 d6 Bc4 Nf6 d3 g6 O-O Bg7
1662,1564,draw,660+11,d4 d5 c4 Nf6 Nc3 c6 Bg5 e6 e4 Be7
1313,1231,black,420+0,d4 d5 c4 g6 e3 e6 Nc3 Nf6 Nf3 Bg7
1798,1805,white,60+0,e4 e5 f4 exf4 h4 d5 exd5 Qxd5 Nf3 Nf6
