white_elo,black_elo,result,time_control,opening_moves
1504,1428,white,360+0,e4 e5 Nf3 d6 h3 Be6 Nc3 c6 d4 d5
1636,1619,black,180+0,e4 d6 d4 g6 c4 Bg7 Nc3 Nc6 Be3 e5
1651,1588,white,180+0,e4 e5 Bc4 Nf6 Bxf7+ Kxf7 f4 exf4 Nf3 Bc5
1630,1619,black,420+1,d4 d6 c4 Nf6 Nc3 Nbd7 Nf3 e5 Bg5 Be7
1633,1706,black,1020+0,e4 e6 d4 d5 exd5 exd5 Nf3 Nf6 Bd3 Nc6
1381,1361,white,300+5,e4 e5 d3 h6 f4 d5 f5 dxe4 dxe4 Qxd1+
1491,1476,black,0+1,e3 g6 d3 Bg7 Bd2 f6 Be2 g5 Nf3 h6
1470,1542,black,180+0,e4 e5 Nf3 Nc6 Nc3 Nf6 Nxe5 Nxe5 d4 Ng6
1757,1871,black,180+0,e4 c5 Bc4 Nc6 a4 g6 Nc3 Bg7 f4 d6
1479,1490,white,0+1,e3 g6 Qf3 Bg7 Bc4 e6 Nh3 c6 d3 b5
1639,1559,white,120+0,d4 d5 g3 c5 Bg2 Nc6 dxc5 e5 Nc3 d4
1564,1625,white,600+10,e4 e5 Nf3 f6 Nc3 Nc6 Bc4 b5 Bd5 b4
1548,1279,white,480+0,d4 d5 e4 e5 dxe5 d4 Nf3 Bc5 Bc4 Nc6
1407,998,white,180+6,e3 e5 d4 d6 dxe5 dxe5 Qxd8+ Kxd8 Nf3 Bb4+
1700,1778,white,60+0,e4 e5 Nf3 d6 d4 f5 dxe5 fxe4 Nfd2 d5
1542,1413,white,300+8,e4 d5 exd5 Qxd5 Nc3 Qe5+ Nge2 Bg4 h3 Bxe2
1576,1517,white,60+4,d4 d5 Nf3 Nc6 e3 e6 c4 dxc4 Bxc4 Bb4+
1673,1843,black,0+1,g3 c5 Bg2 d5 b3 e5 Bb2 d4 d3 Nf6
1631,1620,white,180+0,a3 Nf6 d3 Nc6 g3 e5 Bg2 d6 Nf3 Bg4
1438,1553,black,600+8,d4 d5 e4 dxe4 Nc3 e5 dxe5 Qxd1+ Nxd1 Bc5
1234,1394,white,300+5,d4 d5 Nf3 Nc6 Nc3 Nf6 Bf4 Bf5 e3 e6
1630,1612,white,420+1,e4 c5 Nf3 Nc6 Bc4 d6 O-O Nf6 Nc3 Bg4
1544,1654,white,120+0,d4 d5 c4 dxc4 Nc3 a6 e4 b5 a4 Bb7
1236,1835,black,300+15,d4 d5 Nc3 e6 Nf3 c5 Ne5 cxd4 Qxd4 Nc6
2052,1457,white,120+0,d4 Nf6 c4 d5 Nc3 g6 Nf3 Bg7 Qb3 O-O
1661,1141,white,180+0,e4 e6 f4 d6 Nf3 Ne7 Bc4 d5 exd5 exd5
1459,1551,black,180+0,e4 e5 Nf3 Nf6 Nc3 Nc6 Nxe5 Nxe5 d4 Neg4
1457,1179,white,300+10,e4 e6 d4 d5 e5 c5 Nf3 c4 Nc3 b5
1764,1714,black,60+0,e4 e5 Nf3 Nc6 Bc4 Nf6 O-O Be7 Re1 O-O
